[[31m20:09:30.792 STDERR (CRITICAL) on main] Unknown key : RECALAGE_ACC, also tried recalageAcc[0m
[[31m20:09:30.793 STDERR (CRITICAL) on main] Unknown key : SECOURS, also tried secours[0m
[[31m20:09:30.794 STDERR (CRITICAL) on main] Unknown key : RECALAGE_MECA_ACC, also tried recalageMecaAcc[0m
[[31m20:09:30.796 STDERR (CRITICAL) on main] Unknown key : MILIEU_ECUEIL_PRIVE_XBLEU, also tried milieuEcueilPriveXbleu[0m
[[31m20:10:17.810 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-717,367):(-718,167)]: Obstacle mobile circulaire Circle [center: (-673,319), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-718,67)[0m
[[31m20:10:19.867 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-717,367):(-717,167)]: Obstacle mobile circulaire Circle [center: (-673,319), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-718,67)[0m
[[31m20:10:21.922 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-717,367):(-717,167)]: Obstacle mobile circulaire Circle [center: (-673,319), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-718,67)[0m
[[31m20:10:23.974 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-717,367):(-717,167)]: Obstacle mobile circulaire Circle [center: (-673,319), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-718,67)[0m
[[31m20:10:26.034 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-717,367):(-717,167)]: Obstacle mobile circulaire Circle [center: (-673,319), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-718,67)[0m
[[31m20:10:33.595 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:35.646 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:37.699 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:39.770 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:41.823 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:43.885 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:45.948 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:47.999 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
[[31m20:10:50.050 LOCOMOTION (CRITICAL) on main locomotion.PathFollower.moveLengthwise(PathFollower.java:198)] Failed to reach position because of someone in front of me! Enemy intersects [(-1317,367):(-1317,567)]: Obstacle mobile circulaire Circle [center: (-1249,361), ray : 340.0, angleStart : -3.14159, angleEnd : 3.14158 [TRAJECTORY_OBSTRUCTED] Aim is (-1317,1032)[0m
